timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO
02/01/2000 00:44:00,NA,NA,NA
02/01/2000 00:44:15,NA,NA,0.070296424
02/01/2000 00:44:30,NA,NA,0.093768497
02/01/2000 00:44:45,NA,NA,0.109570425
02/01/2000 00:45:00,NA,NA,0.049964229
02/01/2000 00:45:15,76,NA,0.056115639
02/01/2000 00:45:30,58,NA,0.034391674
02/01/2000 00:45:45,70,NA,0.085683028
02/01/2000 00:46:00,94,NA,0.117221232
02/01/2000 00:46:15,288,1,0.195626234
02/01/2000 00:46:30,22,1,0.017466502
02/01/2000 00:46:45,9,1,0.019097381
02/01/2000 00:47:00,15,1,0.017415295
02/01/2000 00:47:15,38,1,0.025229303
02/01/2000 00:47:30,9,1,0.01119122
02/01/2000 00:47:45,91,1,0.107542378
02/01/2000 00:48:00,328,1,0.236057686
02/01/2000 00:48:15,121,1,0.055975638
02/01/2000 00:48:30,9,1,0.004170031
02/01/2000 00:48:45,0,1,0.001552218
02/01/2000 00:49:00,0,1,0.001641484
02/01/2000 00:49:15,0,1,0.001003481
02/01/2000 00:49:30,32,1,0.029664993
02/01/2000 00:49:45,5,1,0.003585552
02/01/2000 00:50:00,0,1,0.003378512
02/01/2000 00:50:15,0,1,0.003536337
02/01/2000 00:50:30,170,1,0.112482744
02/01/2000 00:50:45,50,1,0.031740455
02/01/2000 00:51:00,32,1,0.016740884
02/01/2000 00:51:15,5,1,0.010883207
02/01/2000 00:51:30,48,1,0.02594575
02/01/2000 00:51:45,2,1,0.007642055
02/01/2000 00:52:00,0,0,0.005322762
02/01/2000 00:52:15,12,1,0.010652835
02/01/2000 00:52:30,8,1,0.010273386
02/01/2000 00:52:45,0,0,0.005096596
02/01/2000 00:53:00,0,0,0.003716633
02/01/2000 00:53:15,7,0,0.00891264
02/01/2000 00:53:30,0,0,0.002336426
02/01/2000 00:53:45,0,0,0.002180914
02/01/2000 00:54:00,0,0,0.002214802
02/01/2000 00:54:15,16,1,0.011747843
02/01/2000 00:54:30,0,0,0.00300001
02/01/2000 00:54:45,0,0,0.002493863
02/01/2000 00:55:00,0,0,0.002459695
02/01/2000 00:55:15,0,0,0.002361698
02/01/2000 00:55:30,0,0,0.00213306
02/01/2000 00:55:45,0,0,0.002027119
02/01/2000 00:56:00,0,0,0.00202748
02/01/2000 00:56:15,0,0,0.001979467
02/01/2000 00:56:30,0,0,0.001946739
02/01/2000 00:56:45,0,0,0.003839049
02/01/2000 00:57:00,7,0,0.004741206
02/01/2000 00:57:15,0,0,0.002061839
02/01/2000 00:57:30,0,0,0.001832611
02/01/2000 00:57:45,0,0,0.001863478
02/01/2000 00:58:00,0,0,0.001939149
02/01/2000 00:58:15,0,0,0.00192401
02/01/2000 00:58:30,0,0,0.001899376
02/01/2000 00:58:45,0,0,0.001840607
02/01/2000 00:59:00,0,0,0.001853383
02/01/2000 00:59:15,0,0,0.001875349
02/01/2000 00:59:30,0,0,0.001940584
02/01/2000 00:59:45,10,1,0.00959065
02/01/2000 01:00:00,0,0,0.00200258
02/01/2000 01:00:15,0,0,0.002059904
02/01/2000 01:00:30,0,0,0.002092729
02/01/2000 01:00:45,0,0,0.002034586
02/01/2000 01:01:00,0,0,0.001853525
02/01/2000 01:01:15,0,0,0.001898267
02/01/2000 01:01:30,0,0,0.002555569
02/01/2000 01:01:45,79,1,0.053916881
02/01/2000 01:02:00,0,0,0.004191076
02/01/2000 01:02:15,0,0,0.004153817
02/01/2000 01:02:30,0,0,0.004203789
02/01/2000 01:02:45,0,0,0.004437154
02/01/2000 01:03:00,0,0,0.004440208
02/01/2000 01:03:15,0,0,0.004411029
02/01/2000 01:03:30,0,0,0.004515442
02/01/2000 01:03:45,0,0,0.004473485
02/01/2000 01:04:00,0,0,0.004865888
02/01/2000 01:04:15,0,0,0.004698502
02/01/2000 01:04:30,0,0,0.004140955
02/01/2000 01:04:45,0,0,0.0041914
02/01/2000 01:05:00,0,0,0.004299432
02/01/2000 01:05:15,0,0,0.004455957
02/01/2000 01:05:30,0,0,0.004611109
02/01/2000 01:05:45,0,0,0.004032524
02/01/2000 01:06:00,0,0,0.003996396
02/01/2000 01:06:15,0,0,0.003983734
02/01/2000 01:06:30,0,0,0.004192217
02/01/2000 01:06:45,0,0,0.003866381
02/01/2000 01:07:00,0,0,0.003942128
02/01/2000 01:07:15,0,0,0.004079473
02/01/2000 01:07:30,0,0,0.006113376
02/01/2000 01:07:45,0,0,0.005040922
02/01/2000 01:08:00,0,0,0.004102971
02/01/2000 01:08:15,0,0,0.004139518
02/01/2000 01:08:30,0,0,0.004141927
02/01/2000 01:08:45,0,0,0.004862286
02/01/2000 01:09:00,0,0,0.004152868
02/01/2000 01:09:15,0,0,0.00326995
02/01/2000 01:09:30,0,0,0.003242067
02/01/2000 01:09:45,0,0,0.003785266
02/01/2000 01:10:00,0,0,0.003580497
02/01/2000 01:10:15,0,0,0.003383831
02/01/2000 01:10:30,0,0,0.003333038
02/01/2000 01:10:45,0,0,0.003303933
02/01/2000 01:11:00,0,0,0.003365912
02/01/2000 01:11:15,0,0,0.004223686
02/01/2000 01:11:30,0,0,0.003363099
02/01/2000 01:11:45,0,0,0.003305483
02/01/2000 01:12:00,0,0,0.003301873
02/01/2000 01:12:15,4,0,0.007234203
02/01/2000 01:12:30,0,0,0.004704811
02/01/2000 01:12:45,0,0,0.003802142
02/01/2000 01:13:00,0,0,0.00374039
02/01/2000 01:13:15,0,0,0.003747464
02/01/2000 01:13:30,0,0,0.003732892
02/01/2000 01:13:45,0,0,0.007262669
02/01/2000 01:14:00,0,0,0.00356386
02/01/2000 01:14:15,0,0,0.003661804
02/01/2000 01:14:30,0,0,0.003240685
02/01/2000 01:14:45,0,0,0.003322555
02/01/2000 01:15:00,0,0,0.003239435
02/01/2000 01:15:15,0,0,0.003737079
02/01/2000 01:15:30,0,0,0.00341065
02/01/2000 01:15:45,0,0,0.003572482
02/01/2000 01:16:00,0,0,0.003664731
02/01/2000 01:16:15,0,0,0.003032341
02/01/2000 01:16:30,0,0,0.002439593
02/01/2000 01:16:45,0,0,0.002219123
02/01/2000 01:17:00,0,0,0.002395749
